project;merge commit;class;original method;SdgCreated; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;MetaDataCreateIndexService; void org.elasticsearch.cluster.metadata.MetaDataCreateIndexService.createIndex(CreateIndexClusterStateUpdateRequest, ActionListener<ClusterStateUpdateResponse>);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportUpdateAction; void org.elasticsearch.action.update.TransportUpdateAction.shardOperation(UpdateRequest, ActionListener<UpdateResponse>, int);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportDeleteAction; WriteResult org.elasticsearch.action.delete.TransportDeleteAction.executeDeleteRequestOnPrimary(DeleteRequest, IndexShard);not found;;;;;;;;;;;;;;;;;;
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestNodesAction; Table org.elasticsearch.rest.action.cat.RestNodesAction.getTableWithHeader(RestRequest);not found;;;;;;;;;;;;;;;;;;
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestIndicesAction; Table org.elasticsearch.rest.action.cat.RestIndicesAction.getTableWithHeader(RestRequest);not found;;;;;;;;;;;;;;;;;;
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestShardsAction; Table org.elasticsearch.rest.action.cat.RestShardsAction.getTableWithHeader(RestRequest);not found;;;;;;;;;;;;;;;;;;
elasticsearch;0404db65e3497452886173957729c8e82cfd4a03;ESSingleNodeTestCase; Node org.elasticsearch.test.ESSingleNodeTestCase.newNode();not found;;;;;;;;;;;;;;;;;;
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;NestedInnerQueryParseSupport; void org.elasticsearch.index.query.support.NestedInnerQueryParseSupport.setPathLevel();not found;;;;;;;;;;;;;;;;;;
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;MultiMatchQueryBuilder; void org.elasticsearch.index.query.MultiMatchQueryBuilder.doXContent(XContentBuilder, Params);not found;;;;;;;;;;;;;;;;;;
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;SynonymsAnalysisTest; void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis();not found;;;;;;;;;;;;;;;;;;
